chi2,params,galaxy
1705.5181771443256,[0.3        0.97042858 0.8        0.9       ],UGC02953
5663.093710454164,[0.3        0.40809733 0.8        0.9       ],UGC06787
14029488.133701293,[0.3 0.4 0.8 0.9],UGC06786
823672.547622201,[0.3 0.4 0.8 0.9],UGC03580
7632848571344.651,[0.3        0.97042858 0.8        0.9       ],NGC2903
132.08691312861828,[0.3        0.97042858 0.8        0.9       ],UGC05764
15645081.275368204,[0.3        0.97042858 0.8        0.9       ],NGC5055
1431789.0290244855,[0.3        0.97042858 0.8        0.9       ],NGC2403
1546.3645354727932,[0.3        0.97042858 0.8        0.9       ],NGC2841
137.4214569297099,[0.3        0.97042858 0.8        0.9       ],NGC7331
91871.79326872322,[0.3        0.97042858 0.8        0.9       ],NGC6503
1123.9325668369183,[0.3        0.97042858 0.8        0.9       ],UGC07399
28.623936677579437,[0.3        0.97042858 0.8        0.9       ],NGC0891
873675843.0589738,[0.3 0.4 0.8 0.9],UGC05253
452501756.13895935,[0.3 0.4 0.8 0.9],IC4202
9502.886242843759,[0.3        0.97042858 0.8        0.9       ],NGC2915
391105.31759159773,[0.3        0.48369632 0.8        0.9       ],ESO563-G021
107310343.43350343,[0.3        0.48369632 0.8        0.9       ],F571-8
65.51402070283847,[0.3 0.4 0.8 0.9],NGC4013
10556.822715285236,[0.3 0.4 0.8 0.9],NGC7814
105.63386673197431,[0.3        0.48369632 0.8        0.9       ],ESO444-G084
2111306.230161599,[0.3        0.42787025 0.8        0.9       ],UGC03546
1.5801327979012691,[0.3        0.48369632 0.99199423 0.99601327],UGC06667
966461642.7293855,[0.3 0.4 0.8 0.9],NGC4217
1461243406547.1152,[0.3 0.4 0.8 0.9],UGC11914
142970123.11497983,[0.3        0.48369632 0.8        0.9       ],NGC5585
12.25219971903873,[0.3        0.45860327 0.88842444 0.94770165],UGC05986
295459.02205577475,[0.3        0.42787025 0.8        0.9       ],UGC06973
38.41149079104356,[0.3        0.48369632 0.8        0.9       ],ESO116-G012
98059801.42869477,[0.3 0.4 0.8 0.9],NGC5033
